text,label
da realest bitch amber,1
dull backbite,0
coaches dont put positions successful offensive shinny put gardner program trash,2
probs fag vhia,0
night time falls im corie latin man intrigue place bird feather glass scotch never posts ab,2
remember laying antiophthalmic factor hospital bed shot ranting coconut shrimp trash,2
uni suuuucks lolol suck bitch,1
contract trash ass niggas outta stadium,0
meaning se cupps classic response liberal dem calls chunky bonus tweets via,2
im hoe,1
hoe crying yo backside pregnant completely smiles riding dick bitch,0
standing red corner weighing lbs pussy destroying champion world adam nobodyknowshisrace smith,1
bought bitches breakfast getting kissed cheeks non stoplol check literally mins tho,1
worried madam behind building talking crow,2
fucking retarded,1
really bad california faggot marriage forced upon citizen declared illegal,0
hubby relaxing studio angstrom unit lilthen headed str honey doo wop wops bday bash kristen,2
august trash,2
trash,2
niggah fool,1
yeahbut cripple getting clean helped call outwouldnt live fair either way,2
hoes pickin choosin thats niggas stickin movin,1
going comfoable hoe today gotta relaxed prom,1
went lunches bitch ass,1
bitches still love sosa lmfaoooooooooooo,1
hes trash early call capital texas rivers draft bust,2
become cool ne stupid teabagger debate melt facts best,2
say one mans trash next mans treasure one finds pain next might find pleasure,2
anyone came us indentured retainer white trash,0
haha ive swatted little bitch around night staing feel bit sorry seriously,1
flappy bird taking life hear bird crashing every time something goes wrong,2
space brownies,2
sitting bar work watching walking dead fucking wetbacks decide come turn spic music jesus christ,0
hes trash tho million naira want song wizkid via,2
right english person go business equal impoant suspicion rouge wog cop,2
smh u retarded lol,1
hate people tell many tattoos make look ugly like bitch fuck,0
hate snivel bitches,0
fairy tale hat free crochet pattern child adult,2
defeat whitey,0
would bitch weather bipolar im gonna appreciate nice instead,2
female guinea pig pregnant,2
update collegian dressed yellow teletubby face charges breakin theft chinese food leftovers,2
like call someone nigger theyre black act like nigger,0
love song john doe dope faggots,0
rubbing booty sta playing pussy ya thumb,1
atomic number cant fuck angstrom scary hoe,0
da lil bald headed bitches standn outside kevin gates tryna get,0
antiophthalmic factor ebloa case texas kill jigaboo might safe,0
hit bitch like see contuse,0
lets forget fact everyone mother yellow fever,2
eating animal crackers indiana sacrament andlovinit,2
ugh like hate momma get talking proper like bitch stfu,1
roll hay ultimate warrior died god loves fag toosoon associate nursing antigay crusader little light jokes necessary,0
im young niggah tryna live life long,1
julie tell crybaby blacks get someone blk dress white facedniggers always whining,0
nobody ever got famous whiny bitch either change things make unhappy whining turdfarmer,1
lawd jesus lets pray hoes,1
fox newswohiness presenters mock female pilot took pa campaign isis wtf,2
niggas trash af,1
yall claim want good loyal girl keep messing hoes like im confused,1
im seeing niggers migrating fuher libey rd smh,0
good morning twitter make today positive one cant beat many meaniefaces possible also single hate flappy bird,2
fuckin hate bitches voice omg,1
suppo illegals coming spreading disease among americans dream bitch,0
gotta team hoes like pat summit,1
fuck summer bitch,1
charlie sheen slams rihanna rejecting fiancee youre rude idiot bad wig,2
flaming faggots publicly state want everything handed like fuck dude get bottom ass something,0
bitches getting even badder,1
homo ass crackers,0
best asian massage park slope top rated spa,2
hoes fuckin dont wanna seem like hoe gotta hit ona lo,1
aint love indium ghetto,2
suck dick tacos el negro better,0
nigga wanna bitch approximately pay yall know address knock door,0
faggot ass kick nigra,0
poor whitey,0
realized one links awakening killed two birds one stone unless youre getting wander fish,2
sand spade ran kidd,0
text someone pussy good sorry wrong number quote response,1
cant stand bitch always feels need somethin sit ass home bored aint gotta hoe time,1
aww u mad tho successful man lmfao hut snuggling faggot,0
yankees acquire chase headley padres yangervis solae rafael depaula,2
gone nigguh,0
snap nigga shoy bitch,0
shit could break lose good girl guess need bad bitch come around make,1
obama killed twinkie gonetofar,2
fucking chinks clash clans always fuck bitch ass kamikaze faggots,0
pie crust trash flaky dry shit,1
blast yesterdayshe even monkey bars tryna pop lol,2
amusing mean makes cry like bitch yeah id agree,1
neva count stash cause always lose count neva keep bitch cuz put hoes,1
almost christmas charlie brown,2
fuck islamic state bequeath kill cunts,0
stop whacking shower queer boy,1
shoulda told yeah take home pussy lol,1
everybody look birdkilling wind mill lover,2
help maybe gotta circuit board sorry tranny died motel room wife knows heres applebees gift card,2
niggas invariably wanna talk god gays pussy eating last night aint god ag,0
say mean dyke daffo wcw,0
bitch dick bomb,1
